	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
62	Little Delhi	83 Eddy St,San Francisco,CA,94102	Indian	$11-30	4.0	1969	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	Yes	No	Yes	Street	NULL	Yes	No	No	Yes
63	The Pot's	2652 Judah St,San Francisco,CA,94122	Hot Pot,Buffets,Sports Bars	$11-30	4.0	697	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	No	No	Yes	Street	NULL	Yes	No	No	Yes
64	Cotogna	490 Pacific Ave,San Francisco,CA,94133	Italian	$31-60	4.0	1447	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	5:00 pm - 9:00 pm	No	Free	Yes	Valet, Street	NULL	Yes	No	No	Yes
65	Myriad Gastropub	2491 Mission St,San Francisco,CA,94110	Gastropubs,Venues & Event Spaces	$11-30	4.5	616	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 9:00 pm	Yes	Free	Yes	Garage, Street, Private Lot	Yes	Yes	No	No	Yes
66	Pica Pica Arepa Kitchen	401 Valencia St,San Francisco,CA,94103	Gluten-Free,Latin American	$11-30	4.0	1508	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 9:00 pm	Yes	Free	No	Street	Yes	Yes	No	No	Yes
67	Tropisueno	75 Yerba Buena Ln,San Francisco,CA,94103	Cocktail Bars,Tacos	$11-30	4.0	4458	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	Yes	No	Yes	Garage, Street	Yes	Yes	No	No	Yes
68	Waterbar	399 The Embarcadero,San Francisco,CA,94105	Seafood,American (New),Live/Raw Food	$31-60	3.5	3063	11:30 am - 9:30 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 9:30 pm	No	Free	Yes	Valet, Street	Yes	Yes	No	No	No
69	Mamahuhu	517 Clement St,San Francisco,CA,94118			4.0	49	Closed	5:00 pm - 9:00 pm	5:00 pm - 9:00 pm	5:00 pm - 9:00 pm	5:00 pm - 9:00 pm	5:00 pm - 9:00 pm	Closed	Yes	Free	No	Street	NULL	Yes	Yes	NULL	Yes
70	Starbelly	3583 16th St,San Francisco,CA,94114	Comfort Food,Pizza,Cocktail Bars	$11-30	4.0	1835	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 12:00 am	10:00 am - 12:00 am	10:00 am - 11:00 pm	No	Free	Yes	Street	NULL	Yes	No	NULL	Yes
71	Lao Table	149 2nd St,San Francisco,CA,94105	Laotian,Thai	$11-30	4.0	1075	11:00 am - 3:00 pm,4:30 pm - 10:00 pm	11:00 am - 3:00 pm,4:30 pm - 10:00 pm	11:00 am - 3:00 pm,4:30 pm - 10:00 pm	11:00 am - 3:00 pm,4:30 pm - 10:00 pm	11:00 am - 3:00 pm,4:30 pm - 10:00 pm	4:30 pm - 10:00 pm	Closed	Yes	Free	Yes	Street	NULL	Yes	No	Yes	Yes
